"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.931328296E0,9.683348656E0,-2.753331885E-2,8.990227580E-1,9.725031681E0
2.941256491E0,9.674968719E0,-3.591302410E-2,9.050082564E-1,9.717270677E0
2.951315432E0,9.685743332E0,-3.351882473E-2,9.097966552E-1,9.728436532E0
2.961210137E0,9.686940193E0,-3.711012751E-2,9.097966552E-1,9.729641176E0
2.971341526E0,9.696516991E0,-3.232172132E-2,8.918401599E-1,9.737497898E0
2.981298913E0,9.683348656E0,-2.992752194E-2,9.085995555E-1,9.725928747E0
2.991197815E0,9.678560257E0,-3.591302410E-2,9.050082564E-1,9.720846585E0
3.003062006E0,9.686940193E0,-3.232172132E-2,9.062053561E-1,9.729288933E0
3.012330534E0,9.686940193E0,-3.232172132E-2,9.062053561E-1,9.729288933E0
3.021703704E0,9.685743332E0,-3.112462163E-2,8.990227580E-1,9.727426924E0
3.031817685E0,9.682151794E0,-3.232172132E-2,9.062053561E-1,9.724521387E0
3.041515222E0,9.691728592E0,-3.351882473E-2,8.882488012E-1,9.732405281E0
3.051310267E0,9.688137054E0,-3.351882473E-2,9.097966552E-1,9.730819752E0
3.061193102E0,9.684545517E0,-3.112462163E-2,9.085995555E-1,9.727124126E0
3.071140457E0,9.682151794E0,-4.070143029E-2,9.062053561E-1,9.724552850E0
3.081168327E0,9.683348656E0,-2.633621916E-2,8.954314590E-1,9.724697028E0
3.091126272E0,9.688137054E0,-3.112462163E-2,9.074024558E-1,9.730588242E0
3.101146859E0,9.688137054E0,-3.351882473E-2,9.002198577E-1,9.729929028E0
3.111143637E0,9.682151794E0,-3.471592441E-2,9.050082564E-1,9.724418158E0
3.121877677E0,9.678560257E0,-3.471592441E-2,8.942343593E-1,9.719845108E0
3.131481103E0,9.688137054E0,-2.274491638E-2,9.074024558E-1,9.730565047E0
3.141656827E0,9.683348656E0,-2.873042040E-2,9.026140571E-1,9.725367796E0
3.151412397E0,9.682151794E0,-2.633621916E-2,8.990227580E-1,9.723836634E0
3.161260703E0,9.685743332E0,-3.950432688E-2,8.978256583E-1,9.727346781E0
