"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.206689588E0,-6.943184882E-2,-4.453215301E-1,9.667786598E0,9.678286509E0
2.216523882E0,-6.943184882E-2,-4.548983276E-1,9.667786598E0,9.678731889E0
2.226468477E0,-8.499415964E-2,-4.465186298E-1,9.660603523E0,9.671290675E0
2.236403040E0,-7.781155407E-2,-4.465186298E-1,9.666589737E0,9.677209860E0
2.246410686E0,-7.541735470E-2,-4.453215301E-1,9.665391922E0,9.675939233E0
2.256383754E0,-7.900865376E-2,-4.489128292E-1,9.661801338E0,9.672547244E0
2.266375704E0,-7.781155407E-2,-4.477157295E-1,9.672574997E0,9.683243831E0
2.276382435E0,-6.823474914E-2,-4.501099288E-1,9.657012939E0,9.667737783E0
2.286352962E0,-7.422025502E-2,-4.525041282E-1,9.653421402E0,9.664306152E0
2.296382834E0,-8.140286058E-2,-4.525041282E-1,9.666589737E0,9.677517427E0
2.306424151E0,-7.900865376E-2,-4.537012279E-1,9.664195061E0,9.675161670E0
2.316404210E0,-7.781155407E-2,-4.513070285E-1,9.665391922E0,9.676235512E0
2.326485646E0,-7.541735470E-2,-4.465186298E-1,9.670180321E0,9.680777557E0
2.336433499E0,-8.738835901E-2,-4.405331016E-1,9.661801338E0,9.672234036E0
2.346428728E0,-7.661445439E-2,-4.513070285E-1,9.661801338E0,9.672639397E0
2.356397228E0,-8.499415964E-2,-4.537012279E-1,9.655815125E0,9.666842014E0
2.366420202E0,-7.661445439E-2,-4.477157295E-1,9.671378136E0,9.682038742E0
2.376399840E0,-7.661445439E-2,-4.465186298E-1,9.670180321E0,9.680786956E0
2.386344164E0,-7.541735470E-2,-4.596867263E-1,9.666589737E0,9.677807438E0
2.396391951E0,-8.259996027E-2,-4.537012279E-1,9.668983459E0,9.679974623E0
2.406394282E0,-6.943184882E-2,-4.525041282E-1,9.668983459E0,9.679815179E0
2.416407036E0,-7.900865376E-2,-4.572925270E-1,9.661801338E0,9.672939777E0
2.426360106E0,-8.020575345E-2,-4.465186298E-1,9.667786598E0,9.678424952E0
2.436686276E0,-7.541735470E-2,-4.477157295E-1,9.660603523E0,9.671266597E0
2.446546184E0,-6.703764945E-2,-4.513070285E-1,9.677363396E0,9.688113045E0
2.456453221E0,-7.661445439E-2,-4.441244006E-1,9.667786598E0,9.678285694E0
2.466398901E0,-8.259996027E-2,-4.477157295E-1,9.658209801E0,9.668934206E0
2.476403799E0,-8.140286058E-2,-4.513070285E-1,9.655815125E0,9.666699032E0
2.486383279E0,-7.422025502E-2,-4.429273009E-1,9.674968719E0,9.685386568E0
2.496391482E0,-6.584054977E-2,-4.620809257E-1,9.671378136E0,9.682634394E0
2.506873084E0,-6.464344263E-2,-4.477157295E-1,9.660603523E0,9.671188582E0
2.516688599E0,-7.900865376E-2,-4.525041282E-1,9.661801338E0,9.672714585E0
2.526470627E0,-8.259996027E-2,-4.537012279E-1,9.667786598E0,9.678779121E0
2.536794115E0,-7.422025502E-2,-4.441244006E-1,9.665391922E0,9.675874955E0
2.546599140E0,-7.541735470E-2,-4.513070285E-1,9.666589737E0,9.677413030E0
2.556477668E0,-7.302315533E-2,-4.513070285E-1,9.682151794E0,9.692939378E0
2.566416203E0,-7.541735470E-2,-4.501099288E-1,9.671378136E0,9.682140351E0
2.576503934E0,-7.661445439E-2,-4.489128292E-1,9.668983459E0,9.679702146E0
2.586513945E0,-7.422025502E-2,-4.453215301E-1,9.664195061E0,9.674734419E0
2.596478430E0,-7.541735470E-2,-4.513070285E-1,9.673771858E0,9.684587125E0
2.606441870E0,-7.900865376E-2,-4.501099288E-1,9.671378136E0,9.682168990E0
2.616411325E0,-7.302315533E-2,-4.489128292E-1,9.677363396E0,9.688045076E0
2.626442797E0,-7.422025502E-2,-4.501099288E-1,9.665391922E0,9.676151539E0
2.636751346E0,-8.020575345E-2,-4.501099288E-1,9.667786598E0,9.678591303E0
2.646547157E0,-7.541735470E-2,-4.465186298E-1,9.662998199E0,9.673603303E0
2.656655947E0,-8.020575345E-2,-4.513070285E-1,9.661801338E0,9.672668510E0
2.666514040E0,-8.020575345E-2,-4.537012279E-1,9.668983459E0,9.679954489E0
2.676476785E0,-7.182604820E-2,-4.560954273E-1,9.667786598E0,9.678805697E0
2.686430814E0,-6.943184882E-2,-4.453215301E-1,9.674968719E0,9.685460844E0
2.696424234E0,-7.541735470E-2,-4.572925270E-1,9.664195061E0,9.675302083E0
2.706395371E0,-7.541735470E-2,-4.525041282E-1,9.671378136E0,9.682251949E0
2.716374456E0,-8.259996027E-2,-4.465186298E-1,9.660603523E0,9.671269931E0
2.726401003E0,-7.541735470E-2,-4.537012279E-1,9.667786598E0,9.678720488E0
2.736330865E0,-7.422025502E-2,-4.489128292E-1,9.683348656E0,9.694032833E0
2.746636786E0,-7.541735470E-2,-4.453215301E-1,9.664195061E0,9.674743677E0
2.756527533E0,-7.422025502E-2,-4.501099288E-1,9.670180321E0,9.680934616E0
